File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lto-llvm-da5681.o,95.550865%,96901,9287,45900,50830,171,9116
mf_w.l,1.642787%,1666,0,1666,0,0,0
startup_at32f415.o,0.398371%,404,1024,36,368,0,1024
mc_w.l,0.368789%,374,0,374,0,0,0
dadd.o,0.329346%,334,0,334,0,0,0
ddiv.o,0.218907%,222,0,222,0,0,0
depilogue.o,0.183408%,186,0,186,0,0,0
fadd.o,0.173548%,176,0,176,0,0,0
fdiv.o,0.122272%,124,0,124,0,0,0
fepilogue.o,0.108467%,110,0,110,0,0,0
fmul.o,0.098607%,100,0,100,0,0,0
uldiv.o,0.096635%,98,0,98,0,0,0
dfixi.o,0.061136%,62,0,62,0,0,0
d2f.o,0.055220%,56,0,56,0,0,0
ffixi.o,0.049303%,50,0,50,0,0,0
init.o,0.047331%,48,0,48,0,0,0
ffixui.o,0.039443%,40,0,40,0,0,0
cpp_init.o,0.039443%,40,0,40,0,0,0
f2d.o,0.037471%,38,0,38,0,0,0
memseta.o,0.035498%,36,0,36,0,0,0
llsshr.o,0.035498%,36,0,36,0,0,0
llushr.o,0.031554%,32,0,32,0,0,0
llshl.o,0.029582%,30,0,30,0,0,0
handlers.o,0.029582%,30,0,30,0,0,0
fcmplt.o,0.027610%,28,0,28,0,0,0
fcmple.o,0.027610%,28,0,28,0,0,0
fcmpgt.o,0.027610%,28,0,28,0,0,0
fcmpge.o,0.027610%,28,0,28,0,0,0
fcmpeq.o,0.027610%,28,0,28,0,0,0
systick_wrapper_gnu.o,0.027610%,28,0,28,0,0,0
fflti.o,0.017749%,18,0,18,0,0,0
ffltui.o,0.009861%,10,0,10,0,0,0
entry9a.o,0.007889%,8,0,8,0,0,0
entry2.o,0.007889%,8,0,8,0,0,0
entry8a.o,0.003944%,4,0,4,0,0,0
entry5.o,0.003944%,4,0,4,0,0,0
