File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
at32f415_int.o,16.602045%,942,4145,938,0,4,4141
at32f415_crm.o,15.897075%,902,0,894,8,0,0
at32f415_usart.o,9.904829%,562,0,562,0,0,0
startup_at32f415.o,7.120197%,404,1024,36,368,0,1024
system_at32f415.o,6.274233%,356,4,352,0,4,0
iap.o,6.133239%,348,4,348,0,0,4
at32f415_wk_config.o,6.027494%,342,0,342,0,0,0
at32f415_flash.o,5.287275%,300,0,300,0,0,0
at32f415_gpio.o,4.793796%,272,0,272,0,0,0
at32f415_misc.o,3.806838%,216,0,216,0,0,0
at32f415_crc.o,2.573141%,146,0,146,0,0,0
wk_usart.o,2.537892%,144,0,144,0,0,0
mc_w.l,2.361650%,134,0,134,0,0,0
main.o,2.114910%,120,1,120,0,0,1
wk_gpio.o,1.832922%,104,0,104,0,0,0
flash.o,1.797674%,102,0,102,0,0,0
wk_system.o,1.480437%,84,4,84,0,0,4
init.o,0.845964%,48,0,48,0,0,0
wk_crc.o,0.845964%,48,0,48,0,0,0
memcpya.o,0.634473%,36,0,36,0,0,0
handlers.o,0.528728%,30,0,30,0,0,0
wk_debug.o,0.246740%,14,0,14,0,0,0
entry9a.o,0.140994%,8,0,8,0,0,0
entry2.o,0.140994%,8,0,8,0,0,0
entry5.o,0.070497%,4,0,4,0,0,0
